Order Number,Item,Pinyin,Frequency,Definition,Usage,Part_of_Speech,Status
1549,逛,guang4,2,"To stroll, browse, or wander around leisurely, especially for window shopping or sightseeing without a specific purpose.",Commonly used in phrases like 逛街 (go shopping/stroll the streets) and 逛商场 (browse the mall),verb,success
1550,造,zao4,2,"To make, build, or create something; to manufacture or construct.","Common in words like 制造 (manufacture), 创造 (create), and 建造 (construct)",verb,success
1551,逼,bi1,2,"To force, compel, or pressure someone to do something against their will.",Common in expressions like 逼迫 (to coerce) and 压逼 (to pressure). Can also mean 'to approach closely' or 'urgent',verb,success
1552,遮,zhe1,2,"To cover, block, or hide something from view; to shield or obstruct.","Common in words like 遮住 (to cover up), 遮挡 (to block), and 遮阳 (to shade from sun)",verb,success
1553,避,bi4,2,"To avoid, evade, or keep away from something undesirable or dangerous.","Common in words like 避免 (avoid), 逃避 (escape from), 躲避 (hide from)",verb,success
1554,锐,rui4,2,"Sharp, keen, or acute; describes something with a pointed edge or penetrating quality. Can refer to physical sharpness or metaphorical sharpness like keen insight or intense energy.","Common in words like 锐利 (sharp/keen), 敏锐 (acute/perceptive), and 锐气 (vigor/drive)",adjective,success
1555,闹,nao4,2,"To make noise, cause a disturbance, or be noisy; can also mean to suffer from or experience (an illness or problem).","Common in words like 热闹 (lively/bustling), 闹钟 (alarm clock), and phrases like 闹肚子 (have an upset stomach)",verb,success
1556,附,fu4,2,"To attach, add, or append something to something else; to be close to or near.","Commonly seen in words like 附近 (nearby), 附加 (additional), and 附件 (attachment)",verb,success
1557,陋,lou4,2,"Crude, shabby, or inferior in quality; also refers to something that is narrow-minded or lacking in refinement.","Commonly seen in words like 简陋 (simple and crude), 陋习 (bad habit), and 丑陋 (ugly)",adjective,success
1558,陪,pei2,2,To accompany or keep someone company; to be with someone during an activity or period of time.,"Common in phrases like 陪我 (accompany me), 陪伴 (to accompany), 陪同 (to escort)",verb,success
1559,雨,yu3,2,Rain; precipitation that falls from clouds as water droplets.,Used in weather expressions like 下雨 (xià yǔ - to rain) and compound words related to rain,noun,success
1560,雪,xue3,2,Snow; frozen precipitation that falls as white flakes from the sky.,Common in weather expressions like 下雪 (to snow) and 雪天 (snowy day),noun,success
1561,页,ye4,2,"A page, as in a book, document, or website. It refers to a single sheet or side of paper in printed or digital materials.","Common in words like 网页 (webpage), 页面 (page), 首页 (homepage)",noun,success
1562,飘,piao1,2,"To float, drift, or flutter in the air, typically describing light objects moved by wind or air currents.","Commonly used with leaves, snow, flags, or hair, as in 雪花飘 (snowflakes drift) or 头发飘 (hair flutters)",verb,success
1563,饰,shi4,2,"To decorate or adorn; also refers to ornaments, accessories, or decorations themselves.","Common in words like 装饰 (decoration), 首饰 (jewelry), and 饰演 (to play a role/act as)",verb/noun,success
1564,饼,bing3,2,"A flat, round cake or pastry; any food item that is flat and round in shape like pancakes, cookies, or flatbreads.","Common in words like 月饼 (mooncake), 煎饼 (pancake), 饼干 (cookie/biscuit)",noun,success
1565,香,xiang1,2,"Fragrant, aromatic, or sweet-smelling; also describes food that smells or tastes delicious.","Common in expressions like 香水 (perfume), 很香 (smells good), or 吃得很香 (eating with great appetite)",adjective,success
1566,骷,ku1,2,"A character component meaning skeleton or skull, rarely used alone but appears in compound words related to bones and death.",Most commonly seen in 骷髅 (kūlóu) meaning skeleton or skull,noun,success
1567,髅,lou2,2,"Skull or skeleton, specifically referring to the bones of the head after death.",Most commonly seen in the compound word 骷髅 (kūlóu) meaning 'skeleton' or 'skull',noun,success
1568,鱼,yu2,2,Fish; refers to aquatic animals with fins and gills that live in water.,Used both as a standalone noun and in compound words like 鱼肉 (fish meat) or 金鱼 (goldfish),noun,success
1569,鳞,lin2,2,"Scale, as in the small overlapping plates that cover the skin of fish and reptiles.",Commonly seen in words like 鱼鳞 (fish scales) and 鳞片 (scale/flake),noun,success
1570,鹿,lu4,2,Deer; a hoofed mammal known for its antlers and graceful appearance.,"Often appears in compound words like 麋鹿 (elk) or 驯鹿 (reindeer), and in place names",noun,success
1571,鼹,yan3,2,A mole (the small burrowing mammal with tiny eyes that lives underground).,"Almost always used in the compound word 鼹鼠 (yǎnshǔ, mole)",noun,success
1572,丰,feng1,1,"Abundant, plentiful, or rich; often describes a good harvest, wealth, or fullness.",Common in words like 丰富 (fēngfù - abundant/rich) and 丰收 (fēngshōu - bumper harvest),adjective,success
1573,串,chuan4,1,To string together or connect in a series; a string or cluster of things linked together (like beads on a string or a bunch of grapes),"Common in words like 串烧 (skewered food), 一串钥匙 (a bunch of keys), or 串门 (to visit neighbors)",verb/measure word,success
1574,亏,kui1,1,"To suffer a loss or deficit, especially in business or financial contexts; to be deficient or lacking.","Common in expressions like 亏本 (lose money in business) or 多亏 (thanks to, luckily)",verb,success
1575,互,hu4,1,"Mutual, reciprocal, or each other; indicates an action or relationship that goes both ways between two or more parties.","Commonly used in compound words like 互相 (hùxiāng, mutually) and 互联网 (hùliánwǎng, Internet)",adverb,success
1576,仓,cang1,1,"A warehouse or storehouse; a place for storing goods, grain, or materials.",Commonly seen in compounds like 仓库 (warehouse) and 粮仓 (granary),noun,success
1577,仪,yi2,1,"Ceremony, ritual, or appearance; also refers to instruments or apparatus used for measuring or observation.","Common in words like 仪式 (ceremony), 仪器 (instrument), and 礼仪 (etiquette)",noun,success
1578,仰,yang3,1,To look upward or tilt one's head/face up; to admire or respect someone.,"Common in words like 仰望 (to look up at), 信仰 (faith/belief), and 仰慕 (to admire)",verb,success
1579,伞,san3,1,An umbrella or parasol used for protection from rain or sun.,"Common in phrases like 雨伞 (yǔsǎn, rain umbrella) and 打伞 (dǎsǎn, to hold/open an umbrella)",noun,success
1580,估,gu1,1,"To estimate, assess, or appraise the value or amount of something. Often used when making rough calculations or judgments about quantity, price, or situation.",Common in words like 估计 (gūjì - to estimate) and 评估 (pínggū - to evaluate),verb,success
1581,佑,you4,1,"To bless, protect, or help from above; divine protection or assistance.","Often used in religious or formal contexts, commonly seen in names and phrases like 保佑 (bǎoyòu - to bless and protect)",verb,success
1582,余,yu2,1,"Remaining, surplus, or extra; refers to what is left over after the main part has been used or taken away.","Common in words like 其余 (the rest), 业余 (spare time/amateur), and 多余 (superfluous)",noun/adjective,success
1583,供,gong1,1,"To supply, provide, or furnish something to someone; to make offerings (especially in religious or ceremonial contexts).","Common in words like 供应 (supply), 提供 (provide), and 供奉 (make offerings to)",verb,success
1584,依,yi1,1,"To depend on, rely on, or lean against something or someone. Also means 'according to' when used in formal contexts.","Common in words like 依靠 (to rely on), 依然 (still, as before), and 依照 (according to)",verb,success
1585,侮,wu3,1,"To insult, humiliate, or treat with contempt; to bully or abuse someone.",Commonly seen in words like 侮辱 (wǔrǔ - to insult/humiliate) and 欺侮 (qīwǔ - to bully),verb,success
1586,俱,ju4,1,"Means 'all' or 'together', indicating that multiple things or people share the same quality or action simultaneously. This is a formal or literary term.","Common in set phrases like 面面俱到 (comprehensive) and 俱乐部 (club, literally 'all happy place')",adverb,success
1587,倍,bei4,1,"A measure word meaning 'times' or 'fold', used to express multiples or multiplication. Indicates how many times larger one quantity is compared to another.","Common in phrases like 两倍 (two times/double), 三倍 (three times/triple), or 成倍增长 (multiply/increase by multiples)",measure word/noun,success
1588,倾,qing1,1,"To lean, tilt, or incline; to pour out or empty. Also means to overturn or collapse, and figuratively to devote all one's resources or effort to something.","Common in words like 倾斜 (to tilt), 倾听 (to listen attentively), and 倾向 (tendency, inclination)",verb,success
1589,健,jian4,1,"Healthy, strong, or robust; relates to physical health and well-being.","Commonly seen in words like 健康 (jiànkāng, health) and 健身 (jiànshēn, fitness/exercise)",adjective,success
1590,偶,ou3,1,"Means 'occasional' or 'by chance'; also refers to a puppet, idol, or statue. Commonly seen in the word 偶尔 (ǒu'ěr) meaning 'occasionally' or 'once in a while'.","Frequently used in 偶尔 (occasionally), 偶然 (accidentally/by chance), and 偶像 (idol)",adjective/noun,success
1591,兆,zhao4,1,"A numerical unit meaning million (10^6) in modern usage, or trillion (10^12) in traditional contexts; also means omen or sign.",Commonly used in large numbers like 兆字节 (megabyte) or to indicate portents,noun/measure word,success
1592,兢,jing1,1,"Cautious, careful, or fearful; describes being meticulous and conscientious in one's actions.","Most commonly seen in the compound word 兢兢业业 (jīngjīng-yèyè), meaning 'conscientious and diligent'",adjective,success
1593,兮,xi1,1,"A classical Chinese particle used for emphasis or to mark a pause in poetry and ancient texts, similar to 'ah' or 'oh' in English.","Mainly found in classical poetry and literary works, rarely used in modern Chinese",particle,success
1594,冽,lie4,1,"Describes water or air that is extremely cold, icy, or biting. Often used in literary or descriptive contexts to emphasize the piercing quality of coldness.","Commonly seen in compounds like 清冽 (qīngliè, clear and cold) or 凛冽 (lǐnliè, bitterly cold)",adjective,success
1595,凄,qi1,1,"Describes a feeling or atmosphere that is desolate, miserable, or bleak. Often used to convey sadness, loneliness, or a chilly, dreary environment.","Commonly appears in literary contexts and compound words like 凄凉 (qīliáng, desolate) or 凄惨 (qīcǎn, miserable)",adjective,success
1596,凉,liang2,1,Cool or cold in temperature; describes something that is pleasantly cool or has become cold.,"Commonly used for weather, drinks, or food, as in 凉水 (cold water) or 天气很凉 (the weather is cool)",adjective,success
1597,凌,ling2,1,"To rise high above; to soar or tower over something. Also means to approach or reach (a time), or to insult/encroach upon.","Common in words like 凌晨 (língchén, early morning/dawn) and 欺凌 (qīlíng, to bully)",verb,success
1598,凛,lin3,1,"Describes bitterly cold weather or a stern, awe-inspiring manner that commands respect or fear.",Often seen in literary contexts like 凛冽 (bitterly cold) or 威风凛凛 (awe-inspiring),adjective,success
1599,凯,kai3,1,"Triumph or victory; a song of triumph. This character represents success and triumphant return, often used in literary or formal contexts.",Commonly appears in names and compounds like 凯旋 (triumphant return) or 凯歌 (song of victory),noun,success
1600,刀,dao1,1,"A knife or blade; a cutting tool with a sharp edge used for cutting, chopping, or slicing.","Common in words like 菜刀 (kitchen knife), 刀子 (small knife), and 剪刀 (scissors)",noun,success
1601,刊,kan1,1,"To publish or print; a publication such as a magazine, journal, or periodical.","Commonly seen in words like 杂志刊 (magazine), 期刊 (periodical), and 刊登 (to publish/print an article)",noun/verb,success
1602,判,pan4,1,"To judge, decide, or distinguish; to sentence or make a ruling in a legal context",Common in words like 判断 (to judge/determine) and 裁判 (referee/judge),verb,success
1603,刹,sha1,1,"To brake or stop suddenly; also refers to a Buddhist temple or monastery (in this sense, often pronounced chà).","Most commonly seen in 刹车 (shāchē, to brake) or 古刹 (gǔchà, ancient temple)",verb/noun,success
1604,削,xue1,1,"To peel, pare, or cut off (a thin layer or surface) using a knife or similar tool.","Commonly used for peeling fruit or sharpening pencils, as in 削苹果 (peel an apple) or 削铅笔 (sharpen a pencil)",verb,success
1605,剑,jian4,1,"A sword, specifically a double-edged straight sword used in Chinese martial arts and ancient warfare.",Common in martial arts contexts like 剑术 (swordsmanship) and historical or fantasy literature,noun,success
1606,剜,wan1,1,"To cut out or gouge out something, typically by digging or carving with a knife or sharp tool.","Often used in contexts like removing rotten parts from fruit or vegetables, or carving out holes",verb,success
1607,剥,bo1,1,"To peel, strip, or remove the outer layer or skin from something, such as fruit, bark, or paint.","Commonly used with objects like 剥皮 (peel skin), 剥壳 (shell/peel), 剥橘子 (peel an orange)",verb,success
1608,勃,bo2,1,"Means vigorous, flourishing, or suddenly rising; describes something bursting forth with energy or vitality.","Most commonly seen in compounds like 勃勃 (bóbó, vigorous) as in 生机勃勃 (full of vitality) or 勃然大怒 (to fly into a rage)",adjective,success
1609,勋,xun1,1,"Merit, meritorious deed, or outstanding achievement, especially in military or public service. Often refers to honors or distinctions awarded for exceptional contributions.","Commonly seen in formal contexts like 勋章 (medal), 功勋 (meritorious service), or in names",noun,success
1610,勺,shao2,1,A spoon or ladle used for scooping and serving food or liquids.,Common in compound words like 汤勺 (soup spoon) and 勺子 (spoon),noun,success
1611,勾,gou1,1,"To hook, tick, or check off; to draw or sketch an outline. Also means to evoke or arouse (memories, interest).",Common in 勾选 (to check/tick a box) and 勾起 (to evoke/bring back),verb,success
1612,匈,xiong1,1,"A character primarily used in the word 匈牙利 (Xiōngyálì), meaning Hungary, and historically in 匈奴 (Xiōngnú), referring to an ancient nomadic people.",Rarely used alone; almost exclusively appears in compound words related to Hungary or historical references,noun,success
1613,匹,pi3,1,A measure word (classifier) used for counting horses and bolts of cloth. Also means 'to match' or 'to equal' in literary contexts.,Commonly seen in 一匹马 (one horse) or 一匹布 (one bolt of cloth),measure word,success
1614,卖,mai4,1,To sell; to offer goods or services in exchange for money.,Common in phrases like 卖东西 (to sell things) or 出卖 (to sell out/betray),verb,success
1615,厄,e4,1,"Misfortune, disaster, or adversity; refers to bad luck or difficult circumstances.",Commonly seen in words like 厄运 (bad luck) and 灾厄 (calamity),noun,success
1616,厕,ce4,1,"Toilet or restroom. This character is most commonly seen in the compound word 厕所 (cèsuǒ), meaning bathroom or lavatory.",Usually appears in 厕所 (toilet/restroom) or 公厕 (public toilet),noun,success
1617,吊,diao4,1,To hang or suspend something from above; to lift or hoist up with a rope or cable.,"Common in words like 吊灯 (chandelier, hanging lamp) and 吊桥 (suspension bridge)",verb,success
1618,吩,fen1,1,To tell or instruct someone to do something; to give orders or directions.,"Almost always used in the compound word 吩咐 (fēnfù), meaning 'to tell/instruct'",verb,success
1619,呛,qiang1,1,"To choke on something (like water, smoke, or spicy food) that irritates the throat or nose, causing coughing or discomfort.",Commonly used when water goes down the wrong way (呛水) or when smoke irritates the throat (被烟呛到),verb,success
1620,咐,fu4,1,To tell or instruct someone to do something; to give orders or directions.,"Almost always used in the compound word 吩咐 (fēnfù), meaning 'to tell/instruct'",verb,success
1621,咝,si1,1,"An onomatopoeia representing a hissing or sizzling sound, like air escaping or something frying.","Often used to describe sounds made by snakes, steam, or hot oil",onomatopoeia,success
1622,咸,xian2,1,"Salty; having a salty taste, the opposite of sweet or bland.","Commonly used to describe food, as in 咸菜 (salted vegetables) or 太咸了 (too salty)",adjective,success
1623,哗,hua1,1,"An onomatopoeia describing a loud, rushing sound, such as water flowing or a crowd making noise. Often used to express sudden, noisy commotion.","Commonly seen in words like 哗啦 (huālā, crashing sound) or 哗然 (huárán, in an uproar)",onomatopoeia,success
1624,哨,shao4,1,A whistle or sentry post; refers to both the device used to make a sharp sound and a guard station or patrol position.,"Common in words like 口哨 (kǒushào - whistle), 哨兵 (shàobīng - sentry), and 放哨 (fàngshào - to stand guard)",noun,success
1625,嘲,chao2,1,"To ridicule, mock, or make fun of someone in a scornful way.",Commonly used in words like 嘲笑 (cháoxiào - to laugh at/mock) and 嘲讽 (cháofěng - to satirize/ridicule),verb,success
1626,嘻,xi1,1,"An onomatopoeia representing the sound of laughter, giggling, or chuckling.",Most commonly seen in the expression 嘻嘻 (xīxī) meaning 'hehe' or giggling sounds,onomatopoeia,success
1627,噜,lu1,1,"An onomatopoeia representing rumbling, muttering, or gurgling sounds. Often used in reduplication (噜噜) to describe continuous low sounds.","Commonly appears in compounds like 嘟噜 (dūlu, to mutter) or 咕噜 (gūlu, gurgling sound)",onomatopoeia,success
1628,噤,jin4,1,"To close one's mouth tightly; to keep silent or be unable to speak, often due to cold, fear, or being forced into silence.","Commonly seen in the expression 噤声 (jìnshēng, to fall silent) or 噤若寒蝉 (jìn ruò hán chán, silent as a cicada in cold weather, meaning too frightened to speak)",verb,success
1629,嚼,jue2,1,To chew or masticate food with the teeth and mouth. This pronunciation is used in formal or literary contexts.,Often appears in written language or formal speech; the more common colloquial pronunciation is jiáo,verb,success
1630,囱,cong1,1,A chimney or window; an opening in a roof or wall that allows smoke to escape or light to enter.,Most commonly seen in the compound word 烟囱 (yāncōng) meaning chimney,noun,success
1631,土,tu3,1,"Earth, soil, or dirt; also refers to land or ground. Can mean 'local' or 'unsophisticated' when used as an adjective.","Common in words like 土地 (land), 土豆 (potato), and 本土 (native/local)",noun/adjective,success
1632,坛,tan2,1,A raised platform or altar used for ceremonies or rituals; also refers to a jar or earthen vessel for storing wine or food.,"Common in words like 天坛 (Temple of Heaven), 论坛 (forum), or 酒坛 (wine jar)",noun,success
1633,坟,fen2,1,A grave or tomb; a burial mound where deceased people are buried.,"Commonly seen in words like 坟墓 (fénmù, grave) and 上坟 (shàngfén, to visit a grave)",noun,success
1634,坦,tan3,1,"Flat, smooth, or level; also means open, frank, or candid when describing character or behavior.",Common in words like 坦白 (frank/honest) and 坦克 (tank - the vehicle),adjective,success
1635,型,xing2,1,"Model, type, or style; refers to a particular form, pattern, or category of something.","Commonly used in compound words like 类型 (type/category), 血型 (blood type), 发型 (hairstyle), or 大型 (large-scale)",noun,success
1636,埃,ai1,1,Dust or dirt; also used as a transliteration character in foreign place names and scientific terms (like angstrom unit).,Most commonly seen in 埃及 (Egypt) and scientific contexts,noun,success
1637,堪,kan1,1,"Can bear, endure, or withstand something; to be worthy of or capable of doing something.","Often used in literary or formal contexts, commonly seen in phrases like 不堪 (unbearable) or 堪称 (can be called/worthy of being called)",verb,success
1638,塑,su4,1,"To mold, shape, or model something; refers to creating forms from materials like clay or plastic.","Commonly seen in words like 塑料 (plastic), 塑造 (to mold/shape), and 雕塑 (sculpture)",verb,success
1639,填,tian2,1,"To fill in, fill out, or stuff something into a space or container. Commonly used when completing forms, filling blanks, or filling physical spaces.",Used in expressions like 填表 (fill out a form) and 填空 (fill in the blank),verb,success
1640,境,jing4,1,"Boundary, border, or territory; also refers to a state, condition, or realm (physical or abstract)","Common in words like 环境 (environment), 境界 (realm/level), 困境 (difficult situation), and 出境 (exit a country)",noun,success
1641,增,zeng1,1,"To increase, add, or grow in quantity or degree. This verb indicates something becoming greater or more numerous.","Commonly used in words like 增加 (to increase), 增长 (to grow), and 增强 (to strengthen)",verb,success
1642,壮,zhuang4,1,"Strong, robust, or sturdy; describes physical strength or an impressive, magnificent appearance.","Common in words like 强壮 (strong/robust), 壮观 (spectacular), and 壮大 (to grow in strength)",adjective,success
1643,夸,kua1,1,"To praise, compliment, or boast about someone or something.",Common in phrases like 夸奖 (to praise) and 夸张 (to exaggerate),verb,success
1644,奈,nai4,1,Literary word meaning 'how' or 'what can be done about'; expresses helplessness or inability to deal with a situation.,Most commonly seen in the set phrase 无奈 (wú nài) meaning 'helpless' or 'have no choice but to',verb,success
1645,奴,nu2,1,"Slave or servant; a person who is owned by or in servitude to another person. In modern usage, often appears in compound words or historical contexts.","Common in words like 奴隶 (slave), 奴才 (lackey), or as a humble self-reference in classical Chinese",noun,success
1646,妃,fei1,1,An imperial concubine or consort; a wife of an emperor or king who ranks below the empress.,"Commonly seen in historical contexts and period dramas, such as 贵妃 (imperial concubine) or 王妃 (princess consort)",noun,success
1647,妨,fang2,1,"To hinder, obstruct, or interfere with something or someone.",Most commonly seen in the word 妨碍 (fáng'ài - to hinder/obstruct) and the phrase 不妨 (bùfáng - might as well/there's no harm in),verb,success
1648,姿,zi1,1,"Posture, gesture, or appearance; refers to the physical form or manner in which someone carries themselves or how something looks.","Common in words like 姿态 (posture/attitude), 姿势 (pose/position), and 舞姿 (dancing posture)",noun,success
1649,娜,na4,1,"A character meaning graceful or elegant, primarily used in female names and transliterations of foreign names.",Commonly seen in names like 安娜 (Anna) or 娜娜 (Nana),adjective/name component,success
1650,宁,ning2,1,"Peaceful, tranquil, or calm; also means 'would rather' or 'preferably' when used in certain expressions.",Common in phrases like 宁可 (would rather) and as part of place names like 南宁 (Nanning),adjective/adverb,success
1651,官,guan1,1,An official or government officer; refers to someone who holds a position of authority in government or public administration.,"Common in words like 官员 (government official), 警官 (police officer), and 法官 (judge)",noun,success
1652,宝,bao3,1,"Treasure, precious thing, or jewel; something valuable or cherished.","Common in words like 宝贝 (baby/treasure), 珠宝 (jewelry), and as a term of endearment",noun,success
1653,宠,chong3,1,"To spoil, pamper, or dote on someone; to show excessive favor or affection.","Commonly used in 宠物 (pet, literally 'pampered thing') and 宠爱 (to dote on/spoil with love)",verb,success
1654,宽,kuan1,1,Wide or broad in physical dimension; can also mean lenient or tolerant when describing attitudes or treatment.,"Commonly used to describe physical width (宽度 width, 宽敞 spacious) or generous/forgiving behavior (宽容 tolerant)",adjective,success
1655,寐,mei4,1,To sleep or fall asleep; a literary or formal term for sleeping.,Most commonly seen in the idiom 夜不能寐 (unable to sleep at night) or literary texts,verb,success
1656,崭,zhan3,1,Means 'brand new' or 'outstanding/prominent'. Most commonly seen in the compound word 崭新 (zhǎnxīn) meaning 'brand new'.,Primarily used in the set phrase 崭新 (brand new) or 崭露头角 (to reveal one's talent),adjective,success
1657,崽,zai3,1,A young child or offspring; also used colloquially to refer to young animals or as a dialectal term for 'son' or 'kid'.,Common in southern Chinese dialects; can be affectionate or casual depending on context,noun,success
1658,庆,qing4,1,To celebrate or congratulate; a celebration or festive occasion,"Common in words like 庆祝 (celebrate), 国庆 (National Day), and 欢庆 (joyfully celebrate)",verb/noun,success
1659,康,kang1,1,"Health, healthy, or well-being; also means peaceful or prosperous.","Most commonly seen in compounds like 健康 (jiànkāng, health) and 康复 (kāngfù, to recover from illness)",adjective/noun,success
1660,廓,kuo4,1,"Outline, contour, or broad expanse; refers to the general shape or boundary of something. Can also mean to expand or clear out.",Most commonly seen in compound words like 轮廓 (lúnkuò - outline/contour) and 廓清 (kuòqīng - to clarify),noun/verb,success
1661,弃,qi4,1,"To abandon, discard, or give up something or someone. It conveys the act of leaving behind or renouncing.",Common in words like 放弃 (fàngqì - to give up) and 抛弃 (pāoqì - to abandon),verb,success
1662,弧,hu2,1,"An arc or curved line, especially in geometry or mathematics. Refers to any curved segment that is part of a circle or curve.",Common in mathematical terms like 弧线 (arc line) and 弧度 (radian),noun,success
1663,录,lu4,1,"To record, write down, or register information; also means a record or register itself.","Common in words like 记录 (jìlù - to record), 录音 (lùyīn - to record audio), 录取 (lùqǔ - to admit/enroll)",verb/noun,success
1664,律,lv4,1,"Law, rule, or regulation; also refers to rhythm or musical pitch in classical contexts.","Commonly seen in words like 法律 (fǎlǜ - law), 纪律 (jìlǜ - discipline), and 律师 (lǜshī - lawyer)",noun,success
1665,忌,ji4,1,"To avoid, abstain from, or be jealous of something; to have a taboo against something","Common in words like 忌口 (dietary restriction), 禁忌 (taboo), and 妒忌 (jealousy)",verb,success
1666,志,zhi4,1,"Will, aspiration, or ambition; refers to one's determination, goals, or resolve to achieve something.","Common in words like 志愿 (volunteer/aspiration), 意志 (willpower), and 同志 (comrade)",noun,success
1667,忡,chong1,1,Worried or anxious; describes a state of mental unease or concern.,Most commonly seen in the compound word 忡忡 (chōngchōng) meaning 'worried' or in the phrase 忧心忡忡 (yōuxīn-chōngchōng) meaning 'deeply worried',adjective,success
1668,怔,zheng1,1,"To be stunned, dazed, or in a trance; describes a momentary state of being frozen or blank due to surprise, shock, or deep thought.",Often used in compounds like 发怔 (fāzhēng - to be in a daze) or 怔住 (zhēngzhù - to be stunned/frozen in place),verb,success
1669,怖,bu4,1,Means 'fear' or 'to be afraid'. This character is rarely used alone in modern Chinese.,Most commonly seen in the compound word 恐怖 (kǒngbù) meaning 'terror' or 'horrible',verb/adjective,success
1670,性,xing4,1,"Nature, character, or quality of something; also refers to sex or gender. Commonly used as a suffix to form abstract nouns indicating properties or characteristics.","Found in words like 性格 (personality), 女性 (female), 可能性 (possibility), 重要性 (importance)",noun/suffix,success
1671,怯,qie4,1,"Timid, cowardly, or lacking courage; describes someone who is afraid or hesitant to act.",Often used in words like 胆怯 (dǎnqiè - timid) or 怯场 (qièchǎng - stage fright),adjective,success
1672,恹,yan1,1,"Describes being sick, weak, or in low spirits; feeling listless or dispirited.","Most commonly seen in the compound word 恹恹 (yan1yan1), meaning sickly or dejected",adjective,success
1673,患,huan4,1,"To suffer from or contract (an illness or disease); can also mean worry, anxiety, or disaster as a noun.",Commonly used in medical contexts like 患病 (to fall ill) or 患者 (patient),verb/noun,success
1674,悴,cui4,1,"Haggard, worn out, or exhausted in appearance, especially referring to someone's face or physical condition due to worry, illness, or hardship.","Most commonly seen in the compound word 憔悴 (qiáo cuì), meaning haggard or worn",adjective,success
1675,惜,xi1,1,"To cherish, value, or treasure something; to feel regret or pity about losing or wasting something.",Common in words like 可惜 (kěxī - what a pity) and 珍惜 (zhēnxī - to treasure),verb,success
1676,惨,can3,1,"Miserable, tragic, or terrible; describes situations or conditions that are extremely bad or unfortunate.","Common in expressions like 惨败 (crushing defeat), 悲惨 (tragic), or 好惨 (so miserable)",adjective,success
1677,惩,cheng2,1,To punish or penalize someone for wrongdoing; to discipline or impose consequences for bad behavior.,Commonly seen in words like 惩罚 (chéngfá - punishment) and 惩治 (chéngzhì - to punish),verb,success
1678,愣,leng4,1,"To be stunned, dazed, or blank; to stare blankly in a distracted or confused state.","Often used to describe someone frozen in surprise or lost in thought, as in 发愣 (to be in a daze) or 愣住了 (to be stunned/frozen)",adjective/verb,success
1679,愧,kui4,1,"To feel ashamed, guilty, or embarrassed about something; to have a sense of remorse or inadequacy.","Commonly used in words like 惭愧 (ashamed), 愧疚 (guilty), and 问心无愧 (have a clear conscience)",adjective/verb,success
1680,慕,mu4,1,"To admire, yearn for, or long for someone or something with respect and affection.","Often seen in formal or literary contexts, such as 羡慕 (xiànmù - to envy/admire) or 爱慕 (àimù - to adore)",verb,success
1681,憔,qiao2,1,"Describes a haggard, worn-out, or exhausted appearance, especially in one's face due to worry, illness, or fatigue.","Almost always used in the compound word 憔悴 (qiáocuì), meaning haggard or worn out",adjective,success
1682,或,huo4,1,A conjunction meaning 'or' that presents alternatives or choices between two or more options.,"Used in statements like 你或我 (you or me), 今天或明天 (today or tomorrow)",conjunction,success
1683,戚,qi1,1,Relative or family member; also means sorrow or grief in literary contexts.,"Most commonly seen in the compound word 亲戚 (qīnqi, relatives)",noun,success
1684,扛,kang2,1,To carry or lift something heavy on one's shoulder or with both hands raised above the head.,"Often used for carrying heavy objects like bags, poles, or equipment, as in 扛着大包 (carrying a big bag on the shoulder)",verb,success
1685,扬,yang2,1,"To raise, lift up, or hoist something; to spread or make known (such as fame or reputation).","Common in words like 表扬 (to praise), 飘扬 (to flutter), and 发扬 (to develop/carry forward)",verb,success
1686,抑,yi4,1,"To restrain, suppress, or hold back (emotions, actions, or forces); to inhibit or repress something.",Commonly seen in formal contexts and compounds like 抑制 (to suppress/restrain) and 压抑 (to depress/repress),verb,success
1687,抛,pao1,1,"To throw, toss, or fling something through the air. Can also mean to abandon or discard something.",Common in phrases like 抛球 (throw a ball) and 抛弃 (abandon/forsake),verb,success
1688,抹,mo3,1,"To wipe, smear, or apply something by spreading it across a surface; to erase or cross out.",Common in phrases like 抹桌子 (wipe the table) or 抹口红 (apply lipstick),verb,success
1689,拎,lin1,1,"To carry or hold something by hand, especially with fingers or by a handle, often dangling at one's side.","Commonly used for carrying bags, baskets, or items with handles, as in 拎包 (carry a bag)",verb,success
1690,拙,zhuo1,1,"Clumsy, awkward, or lacking skill; also used in humble expressions to refer to one's own work or abilities.","Often seen in formal or literary contexts, such as 拙见 (my humble opinion) or 笨拙 (clumsy)",adjective,success
1691,挪,nuo2,1,"To move or shift something from one place to another, typically by pushing or sliding it slightly.","Commonly used for moving furniture, objects, or one's body position, as in 挪动 (to shift/move)",verb,success
1692,振,zhen4,1,"To shake, vibrate, or invigorate; to rouse or stimulate into action or energy.","Commonly seen in words like 振动 (vibrate), 振作 (pull oneself together), and 振奋 (inspire/invigorate)",verb,success
1693,捉,zhuo1,1,"To catch, seize, or grab something or someone, especially with hands or by pursuing.",Common in phrases like 捉鱼 (catch fish) and 捉迷藏 (play hide-and-seek),verb,success
1694,捎,shao1,1,To bring or take something to someone along the way; to deliver a message or item for someone as a favor while going somewhere.,Commonly used in phrases like 捎个口信 (deliver a message) or 捎带 (bring along),verb,success
