Order Number,Pinyin,Correct_Character,Frequency,Definition,Usage,Part_of_Speech,Choice_A,Choice_B,Choice_C,Choice_D,Choice_E,Correct_Choice
1388,wei4,卫,2,"To guard, protect, or defend; also means guard or defender as a noun.","Commonly seen in words like 卫生 (hygiene, literally 'guard health'), 保卫 (to defend), and 卫星 (satellite, literally 'guard star')",verb/noun,细,窃,卫,忧,斯,C
1389,li4,历,2,To experience or go through something; to pass through successive stages or events in time.,"Commonly seen in words like 历史 (history), 经历 (experience), and 历年 (successive years)",verb,纸,历,歌,绑,意,B
1390,dao1,叨,2,To chatter or talk incessantly; to be talkative or long-winded in speech.,Most commonly seen in the compound word 唠叨 (láodao) meaning 'to nag' or 'to chatter',verb,肋,叨,疑,布,致,B
1391,zhao4,召,2,"To summon, call together, or convene; to recruit or enlist people for a purpose.",Commonly seen in formal contexts like 召开会议 (to convene a meeting) or 召集 (to call together),verb,疤,召,家,脾,亚,B
1392,ye4,叶,2,"Leaf; the flat, typically green part of a plant that grows from a stem or branch.",Common in words like 树叶 (tree leaf) and 叶子 (leaf),noun,群,莹,叶,做,妻,C
1393,ji1,叽,2,"An onomatopoeia representing chirping, squeaking, or chattering sounds, especially those made by small birds or insects.",Commonly used in reduplicated form 叽叽 (jījī) to describe continuous chirping or murmuring sounds,onomatopoeia,秒,蟆,揉,叽,回,D
1394,tu3,吐,2,To spit out or vomit; to expel something from the mouth or stomach.,Common in expressions like 呕吐 (to vomit) and 吐痰 (to spit phlegm),verb,服,谷,吐,三,甲,C
1395,tun1,吞,2,To swallow something whole without chewing; to devour or engulf something completely.,Often used literally for swallowing food or figuratively for annexing territory or embezzling money,verb,第,拍,肚,吞,踉,D
1396,fou3,否,2,"A negative word meaning 'not' or 'no', used primarily in formal or written Chinese to negate or deny something.",Commonly appears in questions like 是否 (whether or not) and formal expressions; less common in everyday speech than 不,adverb,酷,辱,黑,否,厨,D
1397,zhi1,吱,2,"An onomatopoeia representing squeaking, creaking, or chirping sounds made by small animals, doors, or objects.","Commonly used in words like 吱吱 (zhīzhī, squeaking sound) or 吱声 (zhīshēng, to utter a sound)",onomatopoeia,链,佐,正,系,吱,E
1398,chao3,吵,2,To be noisy or loud; to quarrel or argue with someone,"Common in phrases like 吵架 (to quarrel), 吵闹 (noisy), or 别吵 (be quiet/stop arguing)",verb/adjective,吱,忍,雄,经,吵,E
1399,ai1,哀,2,"Grief, sorrow, or mourning; expresses deep sadness or lamentation, often related to death or loss.","Common in formal or literary contexts, such as 哀悼 (to mourn) or 悲哀 (sadness)",adjective/noun,光,寄,哀,鸡,糕,C
1400,duo1,哆,2,"To tremble or shiver, typically from cold or fear. Most commonly seen in the reduplicative form 哆嗦 (duōsuo).","Primarily used in the compound word 哆嗦, meaning to shiver or tremble",verb,常,了,哆,妖,慈,C
1401,huan4,唤,2,To call out to someone or summon; to wake someone up by calling their name.,"Often used in literary or formal contexts, as in 呼唤 (to call out) or 唤醒 (to awaken)",verb,唤,杂,银,说,情,A
1402,shang1,商,2,"Business, commerce, or trade; also refers to a merchant or businessperson.","Common in words like 商店 (shop), 商人 (merchant), and 电商 (e-commerce)",noun,商,岁,巴,爪,么,A
1403,pi2,啤,2,A character used primarily in the word for beer (啤酒 píjiǔ). It is a phonetic transliteration from the English word 'beer' and rarely appears outside this context.,Almost exclusively used in 啤酒 (beer),noun,罩,啤,过,突,盖,B
1404,zha1,喳,2,An onomatopoeia representing the chirping or chattering sound made by birds or insects.,Commonly used in reduplicated form 喳喳 (zhāzhā) to describe bird sounds or noisy chatter,onomatopoeia,喳,明,也,诚,况,A
1405,suo,嗦,2,"To suck or slurp; describes the action of drawing something into the mouth, often used for eating noodles or making a sucking sound.",Commonly seen in 啰嗦 (luōsuo - wordy/long-winded) and when describing eating noodles,verb,兰,陪,毫,格,嗦,E
1406,di2,嘀,2,"An onomatopoeia representing a short, sharp sound like a beep, honk, or drip. Often used to describe sounds made by horns, alarms, or water droplets.",Commonly seen in reduplicated form 嘀嘀 (dīdī) for car horns or 嘀咕 (dígū) meaning to mutter or whisper,onomatopoeia,辆,佑,嘀,火,又,C
1407,ga1,嘎,2,"An onomatopoeia representing abrupt, sharp sounds like honking, quacking, or creaking noises.",Commonly used to describe duck sounds (嘎嘎 gāgā) or sudden stopping sounds,onomatopoeia,擦,以,削,成,嘎,E
1408,e4,噩,2,"Bad, evil, or terrifying; describes something frightening or nightmarish.",Most commonly seen in 噩梦 (è mèng) meaning 'nightmare',adjective,方,噜,像,约,噩,E
1409,du3,堵,2,"To block, obstruct, or stop up something; to be blocked or congested.",Commonly used for traffic jams (堵车) or blocking passages,verb,宁,入,布,袋,堵,E
1410,hu2,壶,2,"A pot, kettle, or vessel with a spout and handle used for holding and pouring liquids, especially tea or water.",Commonly seen in words like 茶壶 (teapot) and 水壶 (water kettle),noun,掌,患,房,壶,边,D
1411,yang1,央,2,Center or middle; also means to beg or request earnestly.,Most commonly seen in compounds like 中央 (center/central) and 央求 (to beg/implore),noun/verb,爵,捧,快,似,央,E
1412,ao4,奥,2,"Profound, mysterious, or deep; often used to mean 'Olympics' as a shortened form of 奥林匹克 (Àolínpǐkè).",Commonly seen in 奥运会 (Olympics) and place names like 奥地利 (Austria),adjective/noun,柠,奥,站,象,夫,B
1413,mei4,妹,2,Younger sister. Can also refer to a young girl or be used as a suffix in compound words related to young females.,Common in family terms like 妹妹 (younger sister) and 姐妹 (sisters),noun,浆,邓,卧,妹,穿,D
1414,ji1,姬,2,A historical term meaning 'concubine' or 'court lady'; also used as a surname and in the Zhou Dynasty royal family name.,"Commonly appears in historical texts, classical literature, and as a family name in modern Chinese",noun,姬,种,爽,盯,廷,A
1415,wa2,娃,2,"A child, baby, or young kid. Often used informally or in regional dialects to refer to children.","Common in compounds like 娃娃 (wáwa, doll/baby) and 小娃 (xiǎowá, little child)",noun,烧,接,娃,瞟,再,C
1416,cun2,存,2,"To exist, to store, or to deposit. Commonly used to mean keeping something in a place for safekeeping, especially money in a bank.","Found in words like 存在 (to exist), 保存 (to preserve), and 存钱 (to deposit money)",verb,适,缕,存,情,普,C
1417,gu1,孤,2,"Alone, lonely, or solitary; describes someone or something that is isolated or without companions.","Common in words like 孤独 (lonely), 孤单 (solitary), and literary expressions",adjective,鹰,抓,膨,即,孤,E
1418,gong1,宫,2,"Palace or temple; a large, grand building used by royalty or for religious purposes. Also refers to the imperial court or a note in traditional Chinese music.",Common in words like 故宫 (Forbidden City/Imperial Palace) and 天宫 (heavenly palace),noun,宫,眨,触,悬,件,A
1419,bin1,宾,2,Guest or visitor; someone who is received or entertained by a host.,"Common in words like 宾客 (guests), 来宾 (visitors), and 宾馆 (hotel/guesthouse)",noun,蹲,找,宾,沉,祥,C
1420,ji4,寄,2,To send or mail something (like a letter or package); to entrust something to someone's care.,"Commonly used in 寄信 (send a letter), 寄包裹 (mail a package), or 寄宿 (lodge/board)",verb,寄,钥,陷,本,迪,A
1421,ju2,局,2,"Bureau, office, or department; also means situation, game, or set (in sports). Used as a measure word for games and situations.","Common in words like 邮局 (post office), 结局 (ending/outcome), 棋局 (chess game)",noun/measure word,相,级,呻,局,龄,D
1422,ti4,屉,2,"A drawer or sliding compartment in furniture such as desks, cabinets, or dressers; also refers to a steamer tray used in cooking.","Commonly seen in 抽屉 (chōuti, drawer) and 蒸屉 (zhēngti, steamer tray)",noun,那,干,怨,屉,耳,D
1423,zhan3,展,2,"To unfold, spread out, or extend; to display or exhibit something.","Common in words like 展览 (exhibition), 发展 (develop), and 展开 (unfold)",verb,湖,展,喜,什,夫,B
1424,shu3,属,2,To belong to or be part of a category; to be born in a particular Chinese zodiac year,Common in phrases like 属于 (belong to) and when asking someone's zodiac sign: 你属什么? (What's your zodiac animal?),verb,属,荒,外,应,时,A
1425,jin1,巾,2,"A piece of cloth used for wiping or covering, such as a towel, napkin, or handkerchief.","Commonly seen in compounds like 毛巾 (towel), 纸巾 (tissue), and 围巾 (scarf)",noun,价,巾,需,像,沃,B
1426,bi4,币,2,Currency or money; a general term for any form of monetary unit.,"Commonly seen in words like 人民币 (RMB, Chinese yuan), 硬币 (coin), and 外币 (foreign currency)",noun,给,器,币,冷,老,C
1427,lian2,帘,2,"A curtain, screen, or hanging drape used to cover windows, doors, or divide spaces.","Commonly seen in words like 窗帘 (window curtain), 门帘 (door curtain), and 竹帘 (bamboo screen)",noun,帘,视,轻,惯,第,A
1428,di4,帝,2,Emperor or supreme ruler; refers to the highest sovereign authority in imperial China or a deity.,"Found in words like 皇帝 (emperor), 上帝 (God), and 帝国 (empire)",noun,棕,而,帝,等,星,C
1429,wei2,帷,2,"A curtain or screen, typically made of cloth, used to divide spaces or provide privacy. Often refers to large hanging drapes in traditional or formal settings.","Commonly seen in classical Chinese and formal contexts, such as 帷幕 (curtain/screen)",noun,绍,帷,转,待,并,B
1430,mu4,幕,2,"A curtain, screen, or backdrop; also refers to an act or scene in a play or performance.","Common in theater contexts like 开幕 (opening ceremony) or 闭幕 (closing ceremony), and in 幕后 (behind the scenes)",noun,公,幕,喜,贞,树,B
1431,guang3,广,2,"Wide, broad, or extensive in scope or area. Also used as a radical component in characters related to buildings or structures.","Common in words like 广场 (plaza/square), 广大 (vast), and 广告 (advertisement)",adjective,划,位,半,白,广,E
1432,dan4,弹,2,"A projectile or ammunition, such as a bullet, shell, or bomb. Also refers to something shaped like a ball or pellet.","Common in words like 子弹 (bullet), 炸弹 (bomb), 导弹 (missile)",noun,喘,弹,通,夕,全,B
1433,bi3,彼,2,"That, the other, or those (referring to someone or something distant or previously mentioned); often contrasted with 此 (this).","Commonly used in formal or literary contexts, such as 彼此 (each other) or 知己知彼 (know yourself and know your enemy)",pronoun,狼,彼,友,慰,晚,B
1434,tai4,态,2,"State, condition, or attitude; refers to the way something or someone appears or behaves.","Commonly used in compounds like 状态 (state/condition), 态度 (attitude), 形态 (form/shape), and 生态 (ecology)",noun,眨,沫,态,愿,阵,C
1435,shu4,恕,2,To forgive or pardon someone; to show understanding and tolerance toward others' mistakes or offenses.,Often used in formal contexts like 恕我直言 (forgive my bluntness) or 宽恕 (to forgive),verb,恕,劳,姆,盏,令,A
1436,song3,悚,2,"Frightened, terrified, or fearful; describes a feeling of being scared or alarmed.","Most commonly seen in the compound word 恐怖 (kǒngbù) meaning 'horror' or 'terror', and 毛骨悚然 (máogǔsǒngrán) meaning 'hair-raising'",adjective,者,二,悚,位,烦,C
1437,you1,悠,2,"Describes something that is long, distant, or leisurely in time or space; conveys a sense of being unhurried, relaxed, or far-reaching.","Commonly used in words like 悠久 (long-standing), 悠闲 (leisurely), and 悠扬 (melodious)",adjective,谢,妮,阵,悠,期,D
1438,bei1,悲,2,"Sad, sorrowful, or grief-stricken; describes feelings of deep sadness or tragedy.","Common in words like 悲伤 (bēishāng - sad), 悲剧 (bēijù - tragedy), and 悲观 (bēiguān - pessimistic)",adjective,悲,饿,底,男,强,A
1439,huo4,惑,2,"To confuse, bewilder, or mislead; to be puzzled or uncertain about something.","Commonly seen in compounds like 迷惑 (míhuò - confused/puzzled), 疑惑 (yíhuò - doubtful/puzzled), and 困惑 (kùnhuò - perplexed)",verb,实,农,俯,惑,何,D
1440,re3,惹,2,"To provoke, cause, or stir up (trouble, anger, or problems); to attract or invite (unwanted attention or consequences).",Commonly used in phrases like 惹麻烦 (to cause trouble) or 惹人生气 (to make someone angry),verb,穆,惹,仍,叽,椅,B
1441,chou2,愁,2,"To worry, be anxious, or feel distressed about something. Describes a state of sadness or melancholy caused by concerns or troubles.",Often used in literary contexts and expressions like 发愁 (to worry) or 愁眉苦脸 (worried expression),verb/adjective,周,队,愁,腿,壶,C
1442,e4,愕,2,"Surprised, astonished, or startled, typically describing a sudden feeling of shock or amazement.","Most commonly seen in the compound word 愕然 (èrán, 'astonished') or 惊愕 (jīng'è, 'shocked and surprised')",adjective,帘,帮,愕,安,界,C
1443,ci2,慈,2,"Kind, loving, and compassionate, especially describing parental love or mercy. Often refers to maternal affection or benevolent care toward others.","Common in words like 慈母 (loving mother), 慈善 (charity), and 慈悲 (compassion/mercy)",adjective,厅,慈,围,文,懒,B
1444,lan3,懒,2,Lazy; unwilling to work or make an effort. Describes someone who avoids activity or prefers to do nothing.,Common in phrases like 懒人 (lazy person) or 我很懒 (I'm very lazy),adjective,乔,懒,散,恶,遍,B
1445,xi4,戏,2,"Drama, play, or theatrical performance; can also refer to opera or any form of staged entertainment.","Common in words like 京剧 (Beijing opera), 看戏 (watch a play), 游戏 (game)",noun,乔,魂,泪,戏,副,D
1446,zhi2,执,2,"To hold, grasp, or carry out; to execute or implement something",Common in words like 执行 (to execute/implement) and 坚持 (to persist/insist),verb,益,执,细,波,睁,B
1447,pi1,披,2,To drape over one's shoulders or to wear loosely; to spread out or open up something.,"Commonly used in 披着 (draping/wearing), 披萨 (pizza - phonetic), and 披露 (to reveal/disclose)",verb,披,药,吓,罩,夜,A
1448,di3,抵,2,"To resist, oppose, or withstand something; also means to arrive at or reach a destination, or to be equivalent to/offset something.","Common in words like 抵抗 (resist), 抵达 (arrive at), and 抵消 (offset/cancel out)",verb,争,抵,粗,鼻,蝇,B
1449,zhu3,拄,2,"To lean on or support oneself with something, typically a cane or stick.",Most commonly seen in 拄拐杖 (to lean on a crutch/cane),verb,伸,拄,整,勇,辈,B
1450,mu3,拇,2,Refers to the thumb or big toe; the first and largest digit on the hand or foot.,Most commonly seen in 拇指 (mǔzhǐ - thumb) and 大拇指 (dà mǔzhǐ - thumb/big toe),noun,拇,压,杀,饰,草,A
1451,shuan1,拴,2,To tie up or fasten something (usually an animal) with a rope or cord to prevent it from moving away.,"Commonly used with animals like dogs or horses, as in 拴马 (tie up a horse) or 拴狗 (tie up a dog)",verb,俩,拴,与,估,木,B
1452,an4,按,2,To press or push down with the hand or finger; also means 'according to' or 'in accordance with',"Used for physical pressing (按按钮 press a button) or following rules/plans (按时 on time, according to schedule)",verb/preposition,秘,复,按,城,凌,C
1453,tiao1,挑,2,To carry something with a pole on one's shoulder; to choose or select carefully.,Common in expressions like 挑选 (to select) and 挑担 (to carry loads on a shoulder pole),verb,仿,座,卖,挑,疑,D
1454,ting3,挺,2,"An adverb meaning 'quite' or 'rather' used to indicate a moderate to high degree of something, often expressing mild emphasis or approval.","Commonly used in spoken Chinese, as in 挺好 (quite good) or 挺贵 (rather expensive)",adverb,药,洞,挺,土,严,C
1455,nie1,捏,2,"To pinch, squeeze, or knead something with fingers or hands. Also means to mold or shape something soft like clay or dough.",Common in contexts like 捏泥人 (to mold clay figures) or 捏一下 (to pinch once),verb,挂,扇,姿,况,捏,E
1456,cuo4,措,2,"To arrange, handle, or manage something; to place or set up. Most commonly seen in compound words related to taking action or implementing measures.",Frequently used in words like 措施 (cuōshī - measures/steps) and 举措 (jǔcuò - move/action),verb,俩,顿,破,忌,措,E
1457,da1,搭,2,"To put together, join, or build by combining parts; to travel by or take (a form of transportation).","Common in words like 搭配 (to match/pair), 搭建 (to build/construct), and 搭车 (to hitch a ride/take a vehicle)",verb,掏,或,帕,徒,搭,E
1458,luo4,摞,2,"To stack or pile things up; also used as a measure word for stacked items like a pile or stack of books, plates, or papers.",Common in phrases like 一摞书 (a stack of books) or 把碗摞起来 (stack the bowls up),verb/measure word,线,蛇,交,摞,掩,D
1459,si1,撕,2,"To tear or rip something apart with your hands, such as paper, fabric, or other materials.",Common in phrases like 撕纸 (tear paper) or 撕破 (tear to pieces),verb,坏,李,抱,撕,哼,D
1460,xing3,擤,2,To blow one's nose by forcefully expelling air through the nostrils.,Commonly used in the phrase 擤鼻涕 (xǐng bítì) meaning 'to blow one's nose',verb,热,续,汁,擤,爸,D
1461,san4,散,2,"To scatter, disperse, or break up; to come apart or fall apart. Also means loose or scattered (not organized together).","Common in words like 散步 (take a walk), 分散 (disperse), or 散装 (sold loose/in bulk)",verb/adjective,散,助,阿,贼,滔,A
1462,dun1,敦,2,"Honest, sincere, or earnest; also means to urge or press someone to do something.",Often seen in formal contexts and place names like 敦煌 (Dunhuang),adjective/verb,敦,捂,牢,备,喉,A
1463,liao4,料,2,Material or ingredient used to make something; can also mean to expect or anticipate something.,"Common in compounds like 材料 (material), 饮料 (beverage), 调料 (seasoning), or 料到 (to anticipate)",noun/verb,滑,石,料,眺,糕,C
1464,zu2,族,2,"族 means 'clan', 'ethnic group', or 'tribe'. It is also used as a suffix to describe groups of people with shared characteristics or lifestyles.","Common in words like 民族 (ethnic group), 家族 (family clan), and modern terms like 上班族 (office workers) or 低头族 (people always looking at phones)",noun,竞,震,匆,鼻,族,E
1465,zuo2,昨,2,Means 'yesterday' or 'past/previous' when referring to time. Used as a prefix to indicate the day before or a recent past time period.,"Commonly seen in words like 昨天 (zuótiān, yesterday), 昨日 (zuórì, yesterday), and 昨晚 (zuówǎn, last night)",noun/prefix,职,尴,昨,戈,撞,C
1466,za2,杂,2,"Mixed, miscellaneous, or diverse; describes things that are varied, disorderly, or not pure/uniform.","Common in words like 复杂 (complicated), 杂志 (magazine), and 混杂 (mixed together)",adjective,珀,杂,赢,舌,瞧,B
1467,cun1,村,2,"A village or small rural settlement, typically smaller than a town. Refers to countryside communities with agricultural or traditional lifestyles.",Common in words like 村子 (village) and 农村 (countryside/rural area),noun,交,品,蝠,专,村,E
1468,mei2,枚,2,"A measure word (classifier) used for counting small objects like coins, stamps, medals, badges, and missiles.","Common in phrases like 一枚硬币 (one coin), 两枚邮票 (two stamps)",measure word,户,枚,居,哝,贵,B
1469,zha4,栅,2,"A fence, railing, or barrier made of wooden or metal bars arranged in a row. Refers to structures like picket fences, railings, or grated barriers.","Common in words like 栅栏 (fence), 铁栅 (iron railing), and 围栅 (enclosure)",noun,洋,辱,漆,栅,掉,D
1470,lan2,栏,2,"A railing, fence, or barrier; also refers to a column or section in a publication or form.","Common in compounds like 栏杆 (railing), 专栏 (column in newspaper), 填写栏 (fill-in section)",noun,系,栏,言,陷,逃,B
1471,jian3,检,2,"To check, examine, or inspect something carefully. Often used in formal or official contexts related to testing, reviewing, or investigating.","Common in words like 检查 (jiǎnchá - to inspect), 体检 (tǐjiǎn - physical examination), 检验 (jiǎnyàn - to test/verify)",verb,检,升,鸣,叉,试,A
1472,peng2,棚,2,"A shed, shack, or temporary shelter structure with a simple roof. Also refers to a canopy, awning, or booth made of simple materials.","Common in words like 大棚 (greenhouse), 凉棚 (awning), 牛棚 (cattle shed)",noun,棚,惯,个,桃,尺,A
1473,xin1,欣,2,"To be happy, joyful, or delighted; to appreciate or admire something with pleasure.","Commonly used in compound words like 欣赏 (appreciate), 欣喜 (delighted), and 欣然 (gladly)",verb/adjective,欣,签,狐,看,扭,A
1474,yu4,欲,2,"Desire or want; to wish to do something. In classical Chinese and formal contexts, it means 'to want' or 'to be about to.'","Common in literary expressions like 欲望 (desire), 食欲 (appetite), and classical phrases like 欲罢不能 (unable to stop even if one wants to)",verb/noun,子,未,透,欲,蜍,D
1475,wai1,歪,2,"Crooked, tilted, or not straight; can describe physical objects that are askew or ideas/methods that are improper or devious.",Common in expressions like 歪头 (tilt one's head) or 歪理 (twisted logic),adjective,徽,糟,歪,走,则,C
1476,can2,残,2,"Means incomplete, damaged, or cruel; describes something that is broken, leftover, or brutal.","Common in words like 残疾 (disability), 残忍 (cruel), 残留 (remaining/leftover)",adjective,用,残,汽,尘,丝,B
1477,ni2,泥,2,"Mud, clay, or any soft, wet earth-like substance. Can also refer to paste-like materials such as cement or plaster.","Common in words like 泥土 (mud/soil), 水泥 (cement), and 泥巴 (mud)",noun,线,意,泥,晰,圣,C
1478,lei4,泪,2,Tears; the drops of liquid that come from your eyes when you cry or when your eyes are irritated.,Commonly seen in words like 眼泪 (yǎnlèi - tears) and 流泪 (liúlèi - to shed tears),noun,怎,泪,撞,研,七,B
1479,jian4,渐,2,"Gradually; progressively; by degrees. Indicates a slow, step-by-step change or development over time.","Commonly used in compounds like 渐渐 (jiànjiàn, gradually) and 逐渐 (zhújiàn, progressively)",adverb,告,获,渐,哒,羊,C
1480,zi1,滋,2,"To grow, multiply, or nourish; to cause or produce something (often used in formal or literary contexts)","Commonly seen in compounds like 滋味 (taste/flavor), 滋养 (nourish), and 滋生 (breed/produce)",verb,滋,随,颊,掌,邓,A
1481,gun3,滚,2,"To roll, tumble, or rotate; also used as a rude command meaning 'get lost' or 'scram'",Common in phrases like 滚开 (roll away/get lost) and 翻滚 (to roll over),verb,冠,觉,滚,溜,呀,C
1482,di1,滴,2,A drop or droplet of liquid; can also be used as a verb meaning to drip or let fall in drops.,Common in expressions like 一滴水 (a drop of water) or 滴水 (dripping water),noun/verb,宿,端,滴,商,飞,C
1483,lou4,漏,2,"To leak, drip, or let something escape through a hole; also means to leave out or omit something unintentionally.","Common in phrases like 漏水 (water leak), 漏掉 (to miss/omit), and 遗漏 (to leave out)",verb,拼,分,巾,漏,论,D
1484,guan4,灌,2,To pour liquid into something; to fill or irrigate by pouring.,"Common in words like 灌水 (to irrigate/water), 灌溉 (irrigation), and 灌木 (shrub/bush)",verb,抵,付,混,灌,火,D
1485,mie4,灭,2,"To extinguish, put out, or destroy; to become extinct or disappear completely.","Common in words like 消灭 (eliminate), 灭火 (put out a fire), and 毁灭 (destroy)",verb,咔,灭,索,作,检,B
1486,can4,灿,2,"Brilliant, splendid, or dazzling; describes something that shines brightly or is magnificently radiant.","Commonly used in words like 灿烂 (cànlàn - brilliant/splendid) to describe bright light, smiles, or achievements",adjective,霍,灿,巷,钻,瘫,B
1487,kao3,烤,2,"To roast, bake, or grill food using dry heat, typically over fire or in an oven.","Common in food-related contexts like 烤鸭 (roast duck), 烤肉 (barbecue), 烤面包 (toast bread)",verb,森,烤,赛,腕,况,B
1488,sha1,煞,2,To stop or end abruptly; also means evil spirit or malign influence in traditional Chinese culture.,"Commonly seen in compounds like 煞车 (brake), 煞风景 (spoil the fun), and 煞气 (evil aura)",verb/noun,嘟,瓶,妈,跌,煞,E
1489,zhao3,爪,2,"Claw, talon, or paw of an animal; also refers to a bird's or animal's foot with sharp nails.",Commonly seen in words like 爪子 (claw/paw) and 鸡爪 (chicken feet),noun,肯,诞,爪,桃,饰,C
1490,mu3,牡,2,Male (of animals); most commonly seen in the word for peony flower.,"Primarily used in 牡丹 (mǔdān, peony) and to indicate male livestock like 牡牛 (bull)",noun/adjective,猜,牡,俱,另,万,B
1491,fan4,犯,2,"To commit (a crime, error, or offense); to violate or break (a rule or law).","Common in phrases like 犯罪 (commit a crime), 犯错 (make a mistake), 犯法 (break the law)",verb,咕,勋,喜,蛋,犯,E
1492,ma3,玛,2,"A character meaning 'agate' (a type of gemstone), but most commonly used as a transliteration component in foreign names and loanwords.","Frequently seen in names like 玛丽 (Mary), 玛格丽特 (Margaret), and 玛瑙 (agate stone)",noun,玛,坛,库,抬,迷,A
1493,shuai3,甩,2,"To throw, fling, or swing something with force; to shake off or cast aside.",Commonly used for physical actions like swinging arms (甩手) or ditching/dumping someone in relationships (甩了他),verb,期,旅,甩,博,寐,C
1494,tan1,瘫,2,To be paralyzed or unable to move; to collapse or slump down from exhaustion or weakness.,Common in medical contexts (瘫痪 paralysis) and colloquially to describe extreme tiredness (累瘫了 exhausted to the point of collapse),verb,竟,瘫,简,愣,挣,B
1495,yi4,益,2,"Benefit, advantage, or profit; also means to increase or add to something.","Commonly seen in words like 利益 (benefit/interest), 有益 (beneficial), and 益处 (advantage)",noun/verb,益,搁,轮,棒,共,A
1496,jian1,监,2,"To supervise, monitor, or oversee something or someone. Also means prison or jail when used as a noun.","Common in words like 监督 (supervise), 监视 (monitor), 监狱 (prison)",verb/noun,独,始,伯,监,植,D
1497,pan4,盼,2,"To hope for, to look forward to, or to expect something eagerly. Expresses anticipation or longing for a desired outcome or event.",Common in phrases like 盼望 (to hope for) and 期盼 (to look forward to),verb,盼,朋,呻,统,淹,A
1498,mo2,磨,2,"To grind, polish, or rub something to make it smooth or fine; to wear down through friction or repeated action.","Common in words like 磨刀 (sharpen a knife), 折磨 (torment), and 磨练 (temper/train through hardship)",verb,狮,采,山,穆,磨,E
1499,huo4,祸,2,"Disaster, calamity, or misfortune; refers to harmful events or trouble that brings suffering.","Often appears in words like 灾祸 (disaster), 祸害 (scourge), and the idiom 祸不单行 (misfortunes never come singly)",noun,祸,班,祟,介,拳,A
1500,si1,私,2,"Private, personal, or secret; also means selfish when describing behavior or attitudes.",Common in words like 私人 (private/personal) and 自私 (selfish),adjective,私,麦,洋,羡,哒,A
1501,xi1,稀,2,"Sparse, thin, or watery; describes something that is not dense or concentrated.","Commonly used in words like 稀饭 (rice porridge), 稀少 (rare/scarce), and 稀奇 (rare/strange)",adjective,封,幻,茂,稀,缩,D
1502,cheng2,程,2,"A journey, distance, or course; also refers to a process, procedure, or degree/extent of something.","Common in words like 过程 (process), 课程 (course/curriculum), 路程 (distance of a journey), and 程度 (degree/extent)",noun,夜,补,程,诺,断,C
1503,wo1,窝,2,"A nest or den where animals live; also refers to a hideout or any small, cozy dwelling place.","Common in words like 鸟窝 (bird's nest), 狗窝 (dog house), or 被窝 (under the covers/bedding)",noun,颜,洗,窝,辰,堡,C
1504,ben4,笨,2,"Stupid, foolish, or clumsy; describes someone who is slow to understand or awkward in their actions.","Often used to describe people's intelligence or physical coordination, as in 笨蛋 (idiot) or 笨手笨脚 (clumsy)",adjective,笨,雄,卜,够,爵,A
1505,li2,篱,2,"A fence or hedge, typically made of bamboo, wood, or woven branches used to enclose or separate areas.","Commonly seen in compounds like 篱笆 (líba, fence) and 藩篱 (fānlí, barrier/fence)",noun,圈,帕,他,耸,篱,E
1506,fen4,粪,2,"Excrement, feces, or manure; waste matter discharged from the body or used as fertilizer.",Commonly seen in compounds like 粪便 (feces) or 肥粪 (manure/fertilizer),noun,恨,看,粪,茶,朵,C
1507,tang2,糖,2,Sugar or candy; any sweet substance used for food or confection.,"Common in words like 糖果 (candy), 白糖 (white sugar), 冰糖 (rock sugar)",noun,糖,能,挡,喝,速,A
1508,jiu1,纠,2,"To correct, rectify, or point out errors; to gather together or entangle.","Commonly seen in words like 纠正 (to correct), 纠纷 (dispute), and 纠结 (tangled/conflicted)",verb,兄,学,毯,伙,纠,E
1509,chun2,纯,2,"Pure, unmixed, or genuine; describes something without impurities or additions.","Common in words like 纯净 (pure/clean), 纯粹 (purely), and 单纯 (simple/naive)",adjective,睬,叹,纯,教,隔,C
1510,rao4,绕,2,"To wind around, wrap around, or circle something; to make a detour or go around.","Common in phrases like 绕路 (take a detour), 绕圈 (go in circles), 围绕 (revolve around)",verb,致,绕,喉,摔,比,B
1511,sheng2,绳,2,"Rope, cord, or string used for tying, binding, or pulling things together.","Common in words like 绳子 (rope), 跳绳 (jump rope), and 绳索 (cable)",noun,巷,年,跨,绳,制,D
1512,zhao4,罩,2,"A cover, shade, or hood that goes over something to protect or conceal it; can also mean to cover or envelop something.","Common in words like 口罩 (kǒuzhào - face mask), 灯罩 (dēngzhào - lampshade), and 笼罩 (lǒngzhào - to envelop/shroud)",noun/verb,习,罩,排,未,光,B
1513,da1,耷,2,"To droop or hang down loosely, typically describing ears, eyelids, or head hanging downward.",Most commonly seen in 耷拉 (dā la) meaning to droop or let hang down,verb,匆,耷,派,咽,定,B
1514,zhang4,胀,2,"To swell, expand, or feel bloated. Describes something becoming larger due to internal pressure or fullness.",Commonly used for physical sensations like 肚子胀 (bloated stomach) or objects expanding like 膨胀 (to expand/inflate),verb/adjective,王,韦,夕,结,胀,E
1515,xie2,胁,2,"To threaten, coerce, or intimidate someone into doing something against their will.",Commonly seen in words like 威胁 (wēixié - to threaten) and 胁迫 (xiépò - to coerce),verb,引,胁,相,腔,哭,B
